name,URL_to_harvest,url FIDELIS,FIDELIS member,FAIRsharing ID,remarks
TROLLing,https://dataverse.no/dataverse/trolling,https://dataverse.no/dataverse/trolling,True,2929,
UK Data Service,https://ukdataservice.ac.uk/about/,https://ukdataservice.ac.uk/about/,True,2502,
World Data Center for Climate (WDCC),https://www.wdc-climate.de/ui/,https://www.wdc-climate.de/ui/,True,2493,FAIRsharing links to https://cera-www.dkrz.de/WDCC/ui/cerasearch/ which redirects to https://www.wdc-climate.de/ui/
AUSSDA,https://aussda.at/,,False,,
SODHA,https://www.sodha.be/,,False,,
CSDA,https://archiv.soc.cas.cz/en/,,False,,
FSD,https://www.fsd.tuni.fi/en/,,False,,
PROGEDO,https://www.progedo.fr/en/home/,,False,,
SoDaNet,http://sodanet.gr/,,False,,
Tarki,http://www.tarki.hu/eng,,False,,
DATICE,https://datice.is/is,,False,,
ISSDA,http://www.ucd.ie/issda/,,False,,
DASSI,https://www.dassi-archive.it/,,False,,
APIS,https://www.apis.ics.ulisboa.pt/,,False,,
BioModels,https://www.ebi.ac.uk/biomodels/,,False,1846,
BioSamples,https://www.ebi.ac.uk/biosamples/,,False,1554,
BioStudies,https://www.ebi.ac.uk/biostudies/,,False,2507,
BioImage Archive,https://www.ebi.ac.uk/bioimage-archive/,,False,2830,
ChEMBL,https://www.ebi.ac.uk/chembl/,,False,1561,
EGA (European Genome-phenome Archive),https://ega-archive.org/,,False,1865,
EMDB (Electron Microscopy Data Bank),https://www.ebi.ac.uk/emdb/,,False,2126,
EMPIAR,https://www.ebi.ac.uk/empiar/,,False,2649,
ENA (European Nucleotide Archive),https://www.ebi.ac.uk/ena,,False,1850,
EVA (European Variation Archive),https://www.ebi.ac.uk/eva/,,False,2155,
GWAS Catalog,https://www.ebi.ac.uk/gwas/,,False,2740,
IntAct,https://www.ebi.ac.uk/intact/,,False,1599,
LIPID MAPS,https://www.lipidmaps.org/,,False,2090,
DisProt,https://disprot.org/,https://disprot.org/,True,1904,
MetaboLights,https://www.ebi.ac.uk/metabolights/,,False,1711,
ModelArchive,https://www.modelarchive.org/,,False,2249,
PDBe (Protein Data Bank in Europe),https://www.ebi.ac.uk/pdbe/,,False,1860,
PRIDE,https://www.ebi.ac.uk/pride/,,False,1863,
Bgee,https://www.bgee.org/,,False,1770,
UniProt,http://www.uniprot.org/,,False,2077,
